r-table__text,movie-rating__financing-source src,fixed-column,r-table__text href,r-table__text 3,r-table__text 4,r-table__text 5,r-table__text 6,r-table__text 7,r-table__text 8,r-table__text 9,r-table__text 10
432,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,"Танцуй, Селедка!",https://ekinobilet.fond-kino.ru/films/detail/111025523,"ООО ""КИНОКОМПАНИЯ ""СТВ""",18.01.2024,-,60 000 000,100.0%,60 000 000,9 046 243,26 692
433,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Ленинградский вальс,https://ekinobilet.fond-kino.ru/films/detail/111001717,"ООО ""ПРОДЮСЕРСКИЙ ЦЕНТР ""ЛЕНФИЛЬМ""",04.05.2017,30 000 000,50 000 866,62.2%,128 570 000,9 003 288,47 855
434,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Вечная зима,https://ekinobilet.fond-kino.ru/films/detail/111032324,"ООО ""КИНОКОМПАНИЯ АЛЬЯНС""",31.10.2024,-,45 000 000,64.3%,70 000 000,8 844 740,23 649
435,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Побочный эффект,https://ekinobilet.fond-kino.ru/films/detail/111009820,"ООО ""ДРУГ ДРУГА""",05.11.2020,-,25 000 000,47.9%,52 209 700,8 746 793,34 686
436,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Первые,https://ekinobilet.fond-kino.ru/films/detail/111011717,"ООО ""КАРО ПРОДАКШН""",07.06.2018,25 000 000,30 000 000,42.3%,130 000 000,8 438 691,41 951
437,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Катя-Катя,https://ekinobilet.fond-kino.ru/films/detail/111005323,"ООО ""СТУДИЯ ПЕРВЫЙ А""",02.11.2023,-,40 000 000,66.0%,60 606 000,8 424 848,66 938
438,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Лена и Справедливость,https://ekinobilet.fond-kino.ru/films/detail/111020222,"ООО ""САШ-МУВИ""",25.08.2022,-,25 000 000,43.0%,58 093 255,8 266 791,30 788
439,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Экспресс,https://ekinobilet.fond-kino.ru/films/detail/111013722,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",22.09.2022,-,25 000 000,41.5%,60 203 250,8 243 754,26 946
440,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Фрау,https://ekinobilet.fond-kino.ru/films/detail/111028223,"ООО ""ФОРЕСТ-ФИЛЬМ""",14.03.2024,-,40 000 000,66.7%,60 000 000,8 201 277,20 020
441,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Верные,https://ekinobilet.fond-kino.ru/films/detail/112000823,"ООО СТУДИЯ ""ВСТРЕЧА""",31.10.2024,-,4 000 000,66.7%,6 000 000,8 075 342,31 810
442,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Взломать блогеров,https://ekinobilet.fond-kino.ru/films/detail/111016616,"ООО ""БАЗЕЛЕВС""",10.11.2016,-,25 000 000,69.4%,36 016 269,8 027 688,20 529
