название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
НАУРЫЗ,MD,16.03.17,10,154 тыс,"1,0 тыс",15 тыс,,,10,13 тыс,72,"1,3 тыс",,,,,,комедия,"RUONLY, KZ"
ЛЮБОВЬ С ОГРАНИЧЕНИЯМИ,CP,09.03.17,775,72 млн,305 тыс,93 тыс,,,775,33 млн,129 тыс,42 тыс,"8,1 млн",34 тыс,75.28,18 млн,ВТ - СР,"комедия, мелодрама",RUONLY
ЛЮБОВЬ ПРЕТ-А-ПОРТЕ,PRD,02.03.17,416,15 млн,61 тыс,37 тыс,750 тыс,0.12,416,"6,0 млн",21 тыс,15 тыс,"2,0 млн",869,67.32,,,комедия,"RUONLY, IT"
МУЛЬТ В КИНО. ВЫПУСК № 48. ШОУ НАЧИНАЕТСЯ!,MVK,02.03.17,453,"4,2 млн",34 тыс,"9,2 тыс",,,453,"1,8 млн",15 тыс,"4,1 тыс","2,2 млн",18 тыс,-19.4,,,анимация,RUONLY
ВУРДАЛАКИ,CP,23.02.17,1040,44 млн,185 тыс,42 тыс,,,1040,30 млн,117 тыс,29 тыс,"4,0 млн",18 тыс,86.66,"2,9 млн",СР,фэнтези,RUONLY
ЗАЩИТНИКИ,CRP,23.02.17,1278,273 млн,"1,1 млн",214 тыс,,,1278,216 млн,879 тыс,169 тыс,21 млн,88 тыс,90.23,,,"приключения, боевик, фэнтези",RUONLY
ОДНОКЛАССНИЦЫ #НОВЫЙПОВОРОТ,NKI,23.02.17,627,31 млн,134 тыс,50 тыс,,,627,22 млн,84 тыс,34 тыс,"2,7 млн",12 тыс,87.64,,,комедия,RUONLY
СЛИШКОМ СВОБОДНЫЙ ЧЕЛОВЕК,CDK,23.02.17,24,"4,6 млн",14 тыс,191 тыс,,,17,"1,6 млн","4,2 тыс",94 тыс,810 тыс,"2,3 тыс",49.53,,,документальный,RUONLY
"ГУЛЯЙ, ВАСЯ",CP,16.02.17,956,267 млн,"1,1 млн",280 тыс,10 млн,0.12,956,81 млн,319 тыс,85 тыс,84 млн,322 тыс,-3.12,31 млн,ВТ - СР,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 47. ПРОСТО КОСМОС!,MVK,16.02.17,382,"5,4 млн",44 тыс,14 тыс,,,382,"2,4 млн",20 тыс,"6,4 тыс","2,9 млн",24 тыс,-21.44,,,анимация,RUONLY
ЛАБИРИНТЫ ЛЮБВИ,SMKT,09.02.17,23,182 тыс,845,"7,9 тыс",,,23,110 тыс,492,"4,8 тыс",,,,,,мелодрама,RUONLY
ОГНИ БОЛЬШОЙ ДЕРЕВНИ,CRP,02.02.17,397,"5,0 млн",23 тыс,13 тыс,400 тыс,0.12,397,"3,4 млн",14 тыс,"8,6 тыс",504 тыс,"2,5 тыс",85.17,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 46. ВЕСЕЛЫЕ ПРИКЛЮЧЕНИЯ,MVK,02.02.17,370,"4,3 млн",35 тыс,12 тыс,,,370,"2,5 млн",20 тыс,"6,8 тыс","1,6 млн",13 тыс,34.73,,,анимация,RUONLY
ПРИТЯЖЕНИЕ,WDSSPR,26.01.17,1334,"1,1 млрд","4,0 млн",805 тыс,46 млн,0.11,1334,408 млн,"1,4 млн",306 тыс,271 млн,965 тыс,33.43,,,"фантастика, триллер",RUONLY
С ПЯТИ ДО СЕМИ,PRD,26.01.17,54,355 тыс,"1,4 тыс","6,6 тыс",,,54,220 тыс,730,"4,1 тыс",40 тыс,190,81.78,,,"драма, мелодрама","RUONLY, LVA"
ДЖОКЕР,KNLG,26.01.17,20,276 тыс,"3,9 тыс",14 тыс,,,20,88 тыс,496,"4,4 тыс",,,,,,"комедия, семейный",RUONLY
НЕВЕСТА,CRP,19.01.17,1110,183 млн,805 тыс,164 тыс,17 млн,0.18,1110,97 млн,394 тыс,87 тыс,37 млн,150 тыс,61.82,,,"ужасы, триллер",RUONLY
РАЙ,WDSSPR,19.01.17,206,51 млн,181 тыс,248 тыс,"1,8 млн",0.1,201,18 млн,55 тыс,88 тыс,11 млн,38 тыс,35.09,,,драма,"RUONLY, DE"
