название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
МАЛЬЧИК-ДЕЛЬФИН,CP,07.04.22,2174,95 млн,406 тыс,44 тыс,,,2160,45 млн,181 тыс,21 тыс,26 млн,107 тыс,42.6,,,анимация,RUONLY
БОДИБИЛДЕР,CS,07.04.22,349,"3,5 млн",13 тыс,"9,9 тыс",,,349,"2,1 млн","7,1 тыс","6,2 тыс",436 тыс,"1,8 тыс",79.71,,,"триллер, спорт",RUONLY
САЛЮТ-7. ПЕРЕВЫПУСК,NKI,07.04.22,841,18 млн,81 тыс,22 тыс,,,841,"8,2 млн",31 тыс,"9,7 тыс","3,1 млн",13 тыс,62.03,,,драма,RUONLY
БАЛКАНСКИЙ РУБЕЖ. ПЕРЕВЫПУСК,KNT,07.04.22,190,"2,9 млн",10 тыс,15 тыс,,,190,"1,8 млн","5,8 тыс","9,4 тыс",522 тыс,"1,8 тыс",70.84,,,"драма, военный","RUONLY, SRB"
ТАРАС БУЛЬБА. ПЕРЕВЫПУСК,CP,07.04.22,161,811 тыс,"6,9 тыс","5,0 тыс",,,161,364 тыс,"1,3 тыс","2,3 тыс",,,,,,"драма, исторический, боевик",RUONLY
БАБКИ,KNLG,31.03.22,339,11 млн,42 тыс,33 тыс,,,339,"3,8 млн",14 тыс,11 тыс,"3,0 млн",10 тыс,23.07,,,комедия,RUONLY
ЧУПАКАБРА,SMKT,31.03.22,3,27 тыс,94,"8,9 тыс",,,3,27 тыс,94,"8,9 тыс",,,,,,драма,RUONLY
МОЛОДИ,CNF,31.03.22,7,17 тыс,39,"2,4 тыс",,,7,17 тыс,39,"2,4 тыс",,,,,,триллер,RUONLY
ИВАНОВО ДЕТСТВО. ПЕРЕВЫПУСК,SMKT,31.03.22,106,544 тыс,"2,2 тыс","5,1 тыс",,,106,120 тыс,436,"1,1 тыс",319 тыс,"1,3 тыс",-165.01,,,"драма, военный",RUONLY
МОЯ УЖАСНАЯ СЕСТРА,NKI,24.03.22,1837,80 млн,331 тыс,44 тыс,,,1837,27 млн,105 тыс,15 тыс,21 млн,83 тыс,23.04,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 139. ПИРАТЫ МУЛЬТЯШНОГО МОРЯ,MVK,24.03.22,927,"4,5 млн",35 тыс,"4,8 тыс",,,687,"1,9 млн",14 тыс,"2,8 тыс","2,0 млн",15 тыс,-5.16,,,анимация,RUONLY
ФИННИК,CP,24.03.22,2117,455 млн,"1,9 млн",215 тыс,,,2090,123 млн,486 тыс,59 тыс,102 млн,413 тыс,16.66,,,анимация,RUONLY
ПАНЧЕР,CS,24.03.22,77,299 тыс,"1,4 тыс","3,9 тыс",,,77,140 тыс,593,"1,8 тыс",,,,,,спорт,RUONLY
БРАТ. ПЕРЕВЫПУСК,NKI,24.03.22,924,77 млн,297 тыс,83 тыс,,,924,33 млн,109 тыс,35 тыс,16 млн,62 тыс,52.24,"1,7 млн",ПН - СР,"криминал, драма, боевик",RUONLY
БРАТ 2. ПЕРЕВЫПУСК,NKI,24.03.22,796,38 млн,149 тыс,48 тыс,,,796,12 млн,41 тыс,15 тыс,"8,6 млн",33 тыс,30.66,916 тыс,ПН - СР,"криминал, драма, боевик",RUONLY
СЛУЖЕБНЫЙ РОМАН. ПЕРЕВЫПУСК,SMKT,24.03.22,53,"1,6 млн","5,0 тыс",29 тыс,,,44,466 тыс,"1,3 тыс",11 тыс,431 тыс,"1,3 тыс",7.5,,,"комедия, мелодрама",RUONLY
ДОКТОР СВИСТОК,CRP,17.03.22,1753,26 млн,90 тыс,15 тыс,,,1753,15 млн,46 тыс,"8,3 тыс","4,4 млн",15 тыс,69.55,,,комедия,RUONLY
ЛАСТОЧКИ ХРИСТОВЫ,RR,17.03.22,273,"4,3 млн",18 тыс,16 тыс,,,273,"1,8 млн","6,1 тыс","6,7 тыс",545 тыс,"2,3 тыс",70.34,,,документальный,RUONLY
SOLO,RWV,17.03.22,67,697 тыс,"1,7 тыс",10 тыс,,,58,169 тыс,515,"2,9 тыс",,,,,,документальный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 138. ВЕСНА В ТРЕНДЕ,MVK,10.03.22,970,"4,1 млн",33 тыс,"4,2 тыс",,,770,"1,6 млн",12 тыс,"2,1 тыс","1,9 млн",15 тыс,-15.33,,,анимация,RUONLY
ХОЧУ ЗАМУЖ,CP,03.03.22,2049,238 млн,804 тыс,116 тыс,,,1959,46 млн,145 тыс,23 тыс,40 млн,131 тыс,12.05,,,комедия,RUONLY
БРАТ ВО ВСЕМ,PNR,03.03.22,59,897 тыс,"3,8 тыс",15 тыс,,,59,214 тыс,683,"3,6 тыс",,,,,,драма,RUONLY
МИСТЕР НОКАУТ,WDS/KNT,24.02.22,1929,320 млн,"1,1 млн",166 тыс,,,1929,60 млн,197 тыс,31 тыс,32 млн,112 тыс,47.05,29 млн,ВС - СР,"драма, спорт",RUONLY
ПАПЫ,NKI,24.02.22,1233,42 млн,151 тыс,34 тыс,,,1233,12 млн,41 тыс,"9,7 тыс","3,9 млн",15 тыс,67.89,"9,9 млн",ВС - СР,семейный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 137. ЗИМЕ МЫ СКАЖЕМ «ДО СВИДАНИЯ!»,MVK,24.02.22,882,"3,4 млн",27 тыс,"3,8 тыс",,,608,"1,4 млн",10 тыс,"2,2 тыс",718 тыс,"5,9 тыс",46.89,,,анимация,RUONLY
ПЕРВЫЙ СНЕГ,SMKT,24.02.22,2,204 тыс,709,102 тыс,,,2,33 тыс,82,17 тыс,,,,,,"комедия, драма",RUONLY
ОГНЕННАЯ ДУГА. ПЕРЕВЫПУСК,SMKT,24.02.22,63,654 тыс,"4,5 тыс",10 тыс,,,63,108 тыс,626,"1,7 тыс",,,,208 тыс,ВС - СР,"исторический, военный","RUONLY, DE, IT, POL"
РУССКИЕ ГРУЗИНЫ. ФИЛЬМ ВТОРОЙ,CDK,24.02.22,33,"1,9 млн","3,3 тыс",59 тыс,,,33,"1,6 млн","2,3 тыс",47 тыс,,,,,,документальный,RUONLY
МНОГОЭТАЖКА,ALM,24.02.22,8,14 тыс,50,"1,7 тыс",,,8,14 тыс,50,"1,7 тыс",,,,,,"драма, триллер",RUONLY
ПИНОККИО. ПРАВДИВАЯ ИСТОРИЯ,SPPR,17.02.22,840,40 млн,166 тыс,48 тыс,,,840,20 млн,77 тыс,24 тыс,"6,2 млн",26 тыс,69.09,,,анимация,RUONLY
ОДНАЖДЫ В ПУСТЫНЕ,CRP,17.02.22,1509,43 млн,160 тыс,28 тыс,,,1509,17 млн,57 тыс,11 тыс,"5,7 млн",22 тыс,65.42,,,"экшн, военный",RUONLY
СИНДРОМ,CPF,17.02.22,139,"2,4 млн","7,4 тыс",17 тыс,,,139,"1,4 млн","4,0 тыс",10 тыс,,,,,,"ужасы, триллер",RUONLY
ОДИННАДЦАТЬ МОЛЧАЛИВЫХ МУЖЧИН,CP,17.02.22,1914,153 млн,524 тыс,80 тыс,,,1895,52 млн,167 тыс,27 тыс,23 млн,76 тыс,56.66,,,"драма, спорт",RUONLY
ВЕРТОЛЕТ,SMKT,17.02.22,22,"7,0 млн",23 тыс,318 тыс,,,16,"2,0 млн","6,4 тыс",127 тыс,"1,2 млн","3,8 тыс",41.05,,,драма,RUONLY
ЯЙЦО ФАБЕРЖЕ,CP,10.02.22,1092,15 млн,56 тыс,14 тыс,,,1089,"8,4 млн",28 тыс,"7,7 тыс","2,1 млн","7,9 тыс",74.69,,,комедия,RUONLY
"КОРОЧЕ, Я ЖЕНЮСЬ!",CS,10.02.22,21,26 тыс,148,"1,2 тыс",,,21,26 тыс,148,"1,2 тыс",,,,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 136. ДЛЯ КОТИКОВ И СОЛНЫШЕК,MVK,10.02.22,854,"3,2 млн",26 тыс,"3,8 тыс",,,621,"1,2 млн","8,7 тыс","1,9 тыс","1,4 млн",11 тыс,-17.15,,,анимация,RUONLY
НЕПОСЛУШНИК,CRP,03.02.22,1990,306 млн,"1,1 млн",154 тыс,,,1990,90 млн,301 тыс,45 тыс,63 млн,219 тыс,30.34,,,комедия,RUONLY
ДРУГОЕ ИМЯ,BN,03.02.22,190,"2,3 млн","6,6 тыс",12 тыс,,,190,"1,5 млн","3,8 тыс","8,1 тыс",252 тыс,785,83.59,,,"драма, триллер","RUONLY, BLR"
ДЕНЬ СЛЕПОГО ВАЛЕНТИНА,SPPR,03.02.22,973,31 млн,108 тыс,32 тыс,,,973,15 млн,44 тыс,15 тыс,"6,1 млн",22 тыс,58.11,,,"комедия, мелодрама",RUONLY
МАЛЕНЬКИЙ ВОИН,KNT,03.02.22,30,"1,5 млн",19 тыс,51 тыс,,,30,81 тыс,403,"2,7 тыс",,,,,,"комедия, семейный, спорт",RUONLY
"МАМА, Я ДОМА",SMKT,03.02.22,21,"1,5 млн","3,3 тыс",71 тыс,,,21,792 тыс,"1,5 тыс",38 тыс,,,,,,драма,RUONLY
МАРИЯ. СПАСТИ МОСКВУ,NKI,27.01.22,707,"4,0 млн",19 тыс,"5,7 тыс",,,707,"2,0 млн","8,4 тыс","2,8 тыс",477 тыс,"2,6 тыс",76.21,35 тыс,ПН - СР,"драма, военный",RUONLY
ОБХОДНЫЕ ПУТИ,CNF,27.01.22,34,"1,8 млн","5,7 тыс",54 тыс,,,34,507 тыс,"1,5 тыс",15 тыс,259 тыс,797,48.99,,,"документальный, драма","RUONLY, NLD"
МУЛЬТ В КИНО. ВЫПУСК № 135. УЛЫБКА ДО УШЕЙ,MVK,27.01.22,915,"2,5 млн",21 тыс,"2,8 тыс",,,670,"1,2 млн","9,2 тыс","1,8 тыс",928 тыс,"7,6 тыс",23.9,,,анимация,RUONLY
"СДОХНУТЬ НУЖНО, ЧТОБ ВЫ ПРИЕХАЛИ",CS,27.01.22,24,163 тыс,661,"6,8 тыс",,,24,60 тыс,194,"2,5 тыс",,,,,,комедия,RUONLY
ТАЙНА,BN,20.01.22,265,"1,6 млн","6,5 тыс","6,1 тыс",,,265,831 тыс,"3,5 тыс","3,1 тыс",,,,483 тыс,ПН - СР,семейный,RUONLY
УБИТЬ БОССА,CS,13.01.22,100,774 тыс,"3,3 тыс","7,7 тыс",,,100,299 тыс,"1,2 тыс","3,0 тыс",,,,,,комедия,RUONLY
СВИНГЕРЫ,VLG,06.01.22,904,86 млн,268 тыс,95 тыс,,,904,50 млн,135 тыс,56 тыс,13 млн,42 тыс,74.68,,,комедия,RUONLY
ДЖИГАЛОУ,SBF,06.01.22,75,600 тыс,"2,7 тыс","8,0 тыс",,,75,280 тыс,800,"3,7 тыс",,,,,,комедия,RUONLY
ЗВЕЗДНЫЙ РАЗУМ,NKI,06.01.22,500,"5,8 млн",18 тыс,12 тыс,,,500,"4,4 млн",12 тыс,"8,8 тыс",,,,,,"фантастика, триллер",RUONLY
ЧЕМПИОН МИРА,CP,30.12.21,1964,431 млн,"1,3 млн",219 тыс,,,1964,86 млн,237 тыс,44 тыс,119 млн,327 тыс,-37.71,,,драма,RUONLY
СНЕГУРОЧКА ПРОТИВ ВСЕХ,CRP,30.12.21,1306,67 млн,210 тыс,51 тыс,,,1085,24 млн,69 тыс,22 тыс,13 млн,45 тыс,44.64,,,комедия,RUONLY
ТРИ БОГАТЫРЯ И КОНЬ НА ТРОНЕ,SPPR,30.12.21,2042,457 млн,"1,7 млн",224 тыс,,,1989,116 млн,412 тыс,58 тыс,119 млн,434 тыс,-2.72,,,анимация,RUONLY
"МУЛЬТ В КИНО. ВЫПУСК № 134. САНКИ, ГОРКИ, ДВА КОНЬКА",MVK,30.12.21,661,"5,9 млн",40 тыс,"8,9 тыс",,,661,761 тыс,"4,7 тыс","1,2 тыс","1,7 млн",10 тыс,-123.01,,,анимация,RUONLY
ПОРТРЕТ НЕЗНАКОМЦА,SPPR,30.12.21,281,"1,5 млн","3,9 тыс","5,4 тыс",,,281,568 тыс,"1,3 тыс","2,0 тыс",376 тыс,"1,2 тыс",33.72,,,драма,RUONLY
ПОСЛЕДНИЙ БОГАТЫРЬ: ПОСЛАННИК ТЬМЫ,WDS,23.12.21,2189,"2,3 млрд","7,5 млн","1,0 млн",,,2189,322 млн,"1,1 млн",147 тыс,463 млн,"1,4 млн",-44.04,,,"комедия, семейный, фэнтези",RUONLY
МОЙ ПАПА НЕ ПОДАРОК,BN,23.12.21,15,59 тыс,273,"3,9 тыс",,,15,"8,9 тыс",45,591,,,,,,"комедия, семейный",RUONLY
ЕЛКИ 8,MD,16.12.21,1100,70 млн,247 тыс,64 тыс,,,1100,20 млн,72 тыс,18 тыс,10 млн,35 тыс,49.81,,,комедия,RUONLY
ХРОНИКИ ДЕДА МОРОЗА. ТАЙНА ПОДАРКОВ,CS,16.12.21,14,44 тыс,377,"3,2 тыс",,,14,13 тыс,100,909,,,,,,семейный,RUONLY
ЧЕСТНЫЙ РАЗВОД,MD,09.12.21,663,"9,3 млн",31 тыс,14 тыс,,,663,"6,8 млн",21 тыс,10 тыс,533 тыс,"1,9 тыс",92.11,,,комедия,RUONLY
ЧИНОВНИК,SBF,09.12.21,40,174 тыс,655,"4,3 тыс",,,40,125 тыс,408,"3,1 тыс",,,,,,комедия,RUONLY
ВЛАДИВОСТОК,TVF,09.12.21,253,777 тыс,"3,1 тыс","3,1 тыс",,,253,547 тыс,"2,0 тыс","2,2 тыс",,,,,,"драма, мелодрама",RUONLY
МОРЕ ВОЛНУЕТСЯ РАЗ,PIFD,09.12.21,124,565 тыс,"1,6 тыс","4,6 тыс",,,124,212 тыс,677,"1,7 тыс",,,,,,драма,RUONLY
"ЗДРАВСТВУЙ, ДЕДУШКА МОРОЗ!",CS,09.12.21,140,557 тыс,"3,2 тыс","4,0 тыс",,,140,303 тыс,"1,4 тыс","2,2 тыс",,,,,,"комедия, семейный",RUONLY
БУМЕРАНГ,CRP,02.12.21,1695,68 млн,242 тыс,40 тыс,,,1695,38 млн,122 тыс,22 тыс,17 млн,58 тыс,56.42,,,комедия,RUONLY
ЛЕТЧИК,CP,02.12.21,1662,58 млн,231 тыс,35 тыс,,,1626,31 млн,108 тыс,19 тыс,14 млн,58 тыс,54.6,,,"драма, военный",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 133. В ГОСТИ К МУЛЬТИКАМ,MVK,02.12.21,841,"4,0 млн",40 тыс,"4,8 тыс",,,608,910 тыс,"7,2 тыс","1,5 тыс",920 тыс,"8,0 тыс",-1.03,,,анимация,RUONLY
НА БЛИЗКОМ РАССТОЯНИИ,BN,02.12.21,108,517 тыс,"1,2 тыс","4,8 тыс",,,47,517 тыс,"1,2 тыс",11 тыс,,,,,,драма,"RUONLY, LTU"
ЛЕДЯНАЯ ИСТОРИЯ,CS,02.12.21,21,148 тыс,"1,2 тыс","7,0 тыс",,,21,28 тыс,198,"1,3 тыс",,,,,,"приключения, фэнтези",RUONLY
ДЕНЬ МЕРТВЫХ,TNL,02.12.21,112,803 тыс,"3,0 тыс","7,2 тыс",,,112,625 тыс,"2,2 тыс","5,6 тыс",,,,,,драма,RUONLY
КУПЕ НОМЕР 6 / Hytti Nro 6,SPPR,25.11.21,301,14 млн,42 тыс,46 тыс,,,301,"6,8 млн",19 тыс,22 тыс,"1,9 млн","6,2 тыс",71.32,970 тыс,СБ - СР,"драма, мелодрама","RUONLY, DE, EST, FIN"
ПЛЮШЕВЫЙ БУМ,CRP,18.11.21,1607,16 млн,75 тыс,"9,7 тыс",,,1607,12 млн,53 тыс,"7,2 тыс","2,0 млн",11 тыс,82.46,,,"комедия, приключения, анимация, фэнтези",RUONLY
НЕБО,CP,18.11.21,1741,140 млн,537 тыс,81 тыс,,,1706,57 млн,195 тыс,33 тыс,38 млн,139 тыс,32.65,,,"экшн, драма",RUONLY
МОЛОКО ПТИЦЫ,CPF,18.11.21,31,239 тыс,672,"7,7 тыс",,,31,62 тыс,204,"2,0 тыс",,,,,,драма,RUONLY
МЕДЕЯ,NKI,18.11.21,70,716 тыс,"1,7 тыс",10 тыс,,,70,236 тыс,674,"3,4 тыс",,,,210 тыс,ПН - СР,"драма, эротика",RUONLY
РЯД 19,CP,11.11.21,841,18 млн,65 тыс,21 тыс,,,808,"9,8 млн",33 тыс,12 тыс,"3,3 млн",12 тыс,66.26,,,триллер,RUONLY
ДРУГ НА ПРОДАЖУ,NKI,11.11.21,1383,17 млн,63 тыс,12 тыс,,,1383,"9,2 млн",32 тыс,"6,7 тыс","2,8 млн",11 тыс,69.94,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 132. НА ДВОРЕ МУЛЬТЯБРЬ,MVK,04.11.21,850,"3,5 млн",34 тыс,"4,2 тыс",,,324,419 тыс,"3,4 тыс","1,3 тыс","1,1 млн","9,4 тыс",-160.76,,,анимация,RUONLY
ХОЛОДНОЕ ЗОЛОТО,SMKT,04.11.21,63,"3,8 млн",13 тыс,61 тыс,,,12,836 тыс,"2,5 тыс",70 тыс,800 тыс,"2,6 тыс",4.35,,,военный,RUONLY
ЛЕДЯНОЙ ДЕМОН,CP,28.10.21,613,"8,3 млн",32 тыс,14 тыс,,,578,"3,6 млн",13 тыс,"6,3 тыс","1,6 млн","6,2 тыс",54.89,,,ужасы,RUONLY
КОЩЕЙ. НАЧАЛО,CRP,28.10.21,1722,139 млн,687 тыс,81 тыс,,,1722,35 млн,176 тыс,20 тыс,25 млн,117 тыс,29.42,,,анимация,RUONLY
КАМЕНЬ. НОЖНИЦЫ. БУМАГА,NKI,28.10.21,49,154 тыс,726,"3,1 тыс",,,49,60 тыс,260,"1,2 тыс",,,,,,драма,RUONLY
ДРАКУЛОВ,CP,21.10.21,1629,54 млн,201 тыс,33 тыс,,,1624,32 млн,108 тыс,20 тыс,"6,7 млн",26 тыс,78.98,,,комедия,RUONLY
УЧЕНОСТИ ПЛОДЫ,SPPR,21.10.21,351,"3,4 млн",13 тыс,"9,6 тыс",,,351,"1,9 млн","6,5 тыс","5,4 тыс",352 тыс,"1,5 тыс",81.28,,,"драма, военный",RUONLY
ДУНАЙ,ALM,21.10.21,7,282 тыс,733,40 тыс,,,7,282 тыс,733,40 тыс,,,,,,,RUONLY
ШУМ,SMKT,21.10.21,19,38 тыс,128,"2,0 тыс",,,19,38 тыс,128,"2,0 тыс",,,,,,драма,RUONLY
ЫТ / YT,SMKT,21.10.21,17,"1,5 млн","4,5 тыс",87 тыс,,,16,639 тыс,"1,8 тыс",40 тыс,277 тыс,851,56.59,,,"комедия, драма, мелодрама",RUONLY
ФИКСИКИНО. ОСЕННИЙ МАРАФОН,PNR,14.10.21,541,"4,1 млн",26 тыс,"7,5 тыс",,,541,"2,1 млн",13 тыс,"3,9 тыс",805 тыс,"5,4 тыс",61.54,,,анимация,RUONLY
ГЕРДА,BN,14.10.21,237,"3,4 млн",11 тыс,14 тыс,,,207,"1,8 млн","5,5 тыс","8,5 тыс",,,,200 тыс,ЧТ - ВС,драма,RUONLY
ЛЕПОТА,BTF,14.10.21,8,"1,8 млн","4,2 тыс",220 тыс,,,8,487 тыс,"1,1 тыс",61 тыс,526 тыс,"1,2 тыс",-8.14,,,,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 131. ДРУЖБА - ЭТО ГЛАВНОЕ!,MVK,07.10.21,877,"5,7 млн",52 тыс,"6,5 тыс",,,755,"1,7 млн",13 тыс,"2,3 тыс","1,6 млн",13 тыс,8.12,,,анимация,RUONLY
ИДЕАЛЬНАЯ ЖЕНА,CS,07.10.21,51,145 тыс,592,"2,8 тыс",,,51,145 тыс,592,"2,8 тыс",,,,,,комедия,RUONLY
НАС ДРУГИХ НЕ БУДЕТ,PIFD,07.10.21,156,"6,1 млн",19 тыс,39 тыс,,,156,"2,6 млн","7,9 тыс",17 тыс,755 тыс,"2,5 тыс",70.88,519 тыс,ПН - СР,документальный,RUONLY
ИВАН ГРОЗНЫЙ. ПЕРЕВЫПУСК,MFM/IK,07.10.21,28,440 тыс,"1,2 тыс",16 тыс,,,28,137 тыс,421,"4,9 тыс",,,,303 тыс,ПН - СР,"биография, драма, исторический",RUONLY
АНИМАЦИЯ,SMKT,30.09.21,69,53 тыс,308,765,,,69,53 тыс,308,765,,,,,,драма,RUONLY
ФЛЭШМОБ,CS,30.09.21,29,56 тыс,252,"1,9 тыс",,,29,56 тыс,252,"1,9 тыс",,,,,,комедия,RUONLY
НИЧЬЯ,SPPR,30.09.21,189,"1,7 млн","6,4 тыс","8,9 тыс",,,189,959 тыс,"3,2 тыс","5,1 тыс",237 тыс,943,75.27,,,драма,RUONLY
БРАТЦЫ КРОЛИКИ: БАЙКИ СТАРОГО ЗАМКА,PRGK,30.09.21,69,445 тыс,"2,8 тыс","6,5 тыс",,,69,226 тыс,"1,3 тыс","3,3 тыс",129 тыс,902,42.93,,,анимация,RUONLY
БОНДАРЧУК. BATTLE,CP,30.09.21,52,296 тыс,892,"5,7 тыс",,,49,112 тыс,284,"2,3 тыс",,,,,,документальный,RUONLY
ДЕЛО,ALM,23.09.21,77,"1,3 млн","3,6 тыс",16 тыс,,,77,655 тыс,"1,7 тыс","8,5 тыс",209 тыс,558,68.13,,,драма,RUONLY
СЕМЬЯ ГОДА,CS,23.09.21,134,"1,3 млн","6,9 тыс","9,4 тыс",,,134,733 тыс,"3,6 тыс","5,5 тыс",284 тыс,"1,7 тыс",61.24,,,комедия,RUONLY
ВНЕ ЗОНЫ ДОСТУПА,NKI,23.09.21,287,"2,0 млн","9,4 тыс","7,0 тыс",,,287,960 тыс,"4,0 тыс","3,3 тыс",418 тыс,"2,3 тыс",56.44,55 тыс,ПН - СР,"комедия, мелодрама",RUONLY
ИВАН ДЕНИСОВИЧ,CP,23.09.21,409,"6,8 млн",25 тыс,17 тыс,,,391,"3,8 млн",12 тыс,"9,6 тыс","1,2 млн","4,6 тыс",67.33,,,драма,RUONLY
РАЗЖИМАЯ КУЛАКИ,PNR,23.09.21,156,"4,0 млн",12 тыс,26 тыс,,,111,953 тыс,"2,2 тыс","8,6 тыс",797 тыс,"2,3 тыс",16.36,,,драма,RUONLY
МОЛОКО,SPPR,23.09.21,363,"7,4 млн",26 тыс,20 тыс,,,363,"4,2 млн",13 тыс,11 тыс,"1,2 млн","4,2 тыс",71.72,,,мелодрама,RUONLY
БОЕВАЯ СИСТЕМА,SMKT,23.09.21,6,111 тыс,370,18 тыс,,,6,111 тыс,370,18 тыс,,,,,,"драма, военный, боевик",RUONLY
ВРАГ ПО КРОВИ,SMKT,23.09.21,17,"4,3 млн",14 тыс,255 тыс,,,10,"1,7 млн","4,9 тыс",166 тыс,864 тыс,"2,7 тыс",47.93,,,"комедия, боевик",RUONLY
ФИКСИКИНО. БОЛЬШАЯ ПЕРЕМЕНА,PNR,16.09.21,774,"7,6 млн",48 тыс,"9,9 тыс",,,774,"4,5 млн",26 тыс,"5,8 тыс","1,7 млн",11 тыс,62.93,,,анимация,RUONLY
"МУЛЬТ В КИНО. ВЫПУСК № 130. ЛЕТО ПРОШЛО, А МУЛЬТЫ ОСТАЛИСЬ",MVK,09.09.21,752,"6,1 млн",61 тыс,"8,1 тыс",,,752,"1,2 млн","9,7 тыс","1,5 тыс","1,4 млн",12 тыс,-20.79,,,анимация,RUONLY
СОВРИ МНЕ ПРАВДУ,CP,09.09.21,788,50 млн,183 тыс,64 тыс,,,742,23 млн,74 тыс,31 тыс,10 млн,35 тыс,55.7,,,"драма, триллер",RUONLY
НЕБЕСНАЯ КОМАНДА,CRP,09.09.21,1688,60 млн,257 тыс,35 тыс,,,1688,32 млн,121 тыс,19 тыс,13 млн,65 тыс,58.72,,,"драма, спорт",RUONLY
ПЕТРОВЫ В ГРИППЕ,SPPR,09.09.21,495,41 млн,120 тыс,82 тыс,,,495,18 млн,45 тыс,37 тыс,"5,9 млн",17 тыс,67.38,,,драма,RUONLY
БЛОКАДНЫЙ ДНЕВНИК,INDS,09.09.21,150,904 тыс,"8,4 тыс","6,0 тыс",,,150,428 тыс,"1,9 тыс","2,9 тыс",261 тыс,"2,0 тыс",38.95,,,драма,RUONLY
НЕФУТБОЛ,NKI,02.09.21,1103,13 млн,54 тыс,12 тыс,,,1103,"6,5 млн",24 тыс,"5,9 тыс","1,7 млн","7,7 тыс",74.5,"2,3 млн",ПН - СР,комедия,RUONLY
МОСКВА СЛЕЗАМ НЕ ВЕРИТ. ПЕРЕВЫПУСК,SMKT,26.08.21,87,"1,0 млн","4,9 тыс",12 тыс,,,87,596 тыс,"2,9 тыс","6,8 тыс",208 тыс,"1,0 тыс",65.16,,,мелодрама,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 129. ДЛЯ ГЕРОЕВ И ПРИНЦЕСС,MVK,12.08.21,903,"6,9 млн",68 тыс,"7,6 тыс",,,784,"1,5 млн",12 тыс,"1,9 тыс","1,6 млн",13 тыс,-5.36,,,анимация,RUONLY
ФЕОДОСИЙСКАЯ СКАЗКА,ZK,12.08.21,149,559 тыс,"3,8 тыс","3,8 тыс",,,149,332 тыс,"2,2 тыс","2,2 тыс",101 тыс,695,69.68,,,сказка,RUONLY
КАРМАН РОССИИ,SMKT,29.07.21,23,97 тыс,392,"4,2 тыс",,,23,97 тыс,392,"4,2 тыс",,,,,,документальный,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 128. МУЛЬТЫ НЕ НА КАНИКУЛАХ,MVK,15.07.21,919,"6,9 млн",66 тыс,"7,5 тыс",,,722,"1,0 млн","8,3 тыс","1,4 тыс","1,5 млн",13 тыс,-47.7,,,анимация,RUONLY
БЕНДЕР: ЗОЛОТО ИМПЕРИИ,CP,15.07.21,760,24 млн,94 тыс,32 тыс,,,760,12 млн,42 тыс,16 тыс,"4,4 млн",17 тыс,63.21,,,приключения,RUONLY
ИГОРЬ БУТМАН. ИМПРОВИЗАЦИЯ В ПОИСКАХ ДИАЛОГА,SMKT,08.07.21,11,21 тыс,68,"1,9 тыс",,,11,21 тыс,68,"1,9 тыс",,,,,,документальный,RUONLY
БЕРЕГИСЬ АВТОМОБИЛЯ. ПЕРЕВЫПУСК,SMKT,08.07.21,55,475 тыс,"1,4 тыс","8,6 тыс",,,55,475 тыс,"1,4 тыс","8,6 тыс",,,,,,"комедия, криминал, мелодрама",RUONLY
ДЖЕТЛАГ,BN,01.07.21,365,"2,2 млн","7,4 тыс","6,1 тыс",,,365,"1,2 млн","3,4 тыс","3,3 тыс",248 тыс,867,79.25,84 тыс,ПН - СР,мелодрама,RUONLY
СУДЬБА ДИВЕРСАНТА,CS,01.07.21,36,43 тыс,159,"1,2 тыс",,,36,43 тыс,159,"1,2 тыс",,,,,,"биография, драма",RUONLY
КЕНЗЕЛИ,SMKT,01.07.21,247,655 тыс,"2,6 тыс","2,7 тыс",,,247,418 тыс,"1,5 тыс","1,7 тыс",,,,,,мелодрама,RUONLY
ПРОКЛЯТЫЙ ЧИНОВНИК,CRP,24.06.21,1188,20 млн,78 тыс,17 тыс,,,1188,"10,0 млн",35 тыс,"8,4 тыс","3,2 млн",13 тыс,67.58,,,комедия,RUONLY
БЕНДЕР: НАЧАЛО,CP,24.06.21,1797,50 млн,194 тыс,28 тыс,,,1788,24 млн,82 тыс,13 тыс,"9,7 млн",37 тыс,59.35,,,приключения,RUONLY
ФАУСТ,PNR,24.06.21,11,105 тыс,306,"9,5 тыс",,,11,105 тыс,306,"9,5 тыс",,,,,,драма,RUONLY
