st_id,st_name_ru,st_name_en,st_distrib,st_distrib_idx,st_date_start,st_date_real,st_prev_start,st_prev_end,st_prev_adm,st_prev_box,st_thursday_box,st_thursday_adm,st_thursday_copy,st_1wd_box,st_1wd_adm,st_1wd_copy,st_2wd_box,st_2wd_adm,st_total_box,st_total_adm,st_total_copy,st_genre,st_genre_idx,st_country,st_country_idx,st_rel_id,st_thu_ratio,st_2wd_change,st_1wd_avg,st_total_avg
29198183,ХОККЕЙНЫЕ ПАПЫ,,"<a href=""/distributor/show/id/NMG"" target=""_blank"">NMG</a>",",598,",2023-11-23,2023-11-23,&nbsp;,946684800,0,&nbsp;,,0,0,59 млн,187 тыс,2008,40 млн,134 тыс,161 млн,550 тыс,2008,"семейный, спорт",",11,24,",RUONLY,",6,",48366,&nbsp;,33.22,30 тыс,80 тыс
29198336,БЕЛЫЙ СПИСОК,,"<a href=""/distributor/show/id/AK"" target=""_blank"">AK</a>",",587,",2023-11-23,2023-11-23,ПН - СР,СР,281,85 тыс,,0,0,"4,8 млн",12 тыс,421,801 тыс,"2,3 тыс","7,5 млн",21 тыс,421,драма,",10,",RUONLY,",6,",48925,&nbsp;,83.15,11 тыс,18 тыс
29198533,НАСТОЯЩИЙ ДЕД МОРОЗ,,"<a href=""/distributor/show/id/CS"" target=""_blank"">CS</a>",",515,",2023-11-23,2023-11-23,&nbsp;,946684800,0,&nbsp;,,0,0,75 тыс,325 ,44,&nbsp;,&nbsp;,145 тыс,728 ,44,"комедия, семейный",",4,11,",RUONLY,",6,",49542,&nbsp;,&nbsp;,"1,7 тыс","3,3 тыс"
29198546,МЕДВЕДЕВА VS МЕДВЕДЕВА,,"<a href=""/distributor/show/id/KAP"" target=""_blank"">KAP</a>",",588,",2023-11-23,2023-11-23,&nbsp;,946684800,0,&nbsp;,,0,0,"1,6 млн","4,6 тыс",148,357 тыс,"1,1 тыс","3,2 млн","9,9 тыс",148,документальный,",1,",RUONLY,",6,",49586,&nbsp;,77.06,11 тыс,22 тыс
29198298,МОЯ УЖАСНАЯ СЕСТРА 2,,"<a href=""/distributor/show/id/NKI"" target=""_blank"">NKI</a>",",17,",2023-11-16,2023-11-16,&nbsp;,946684800,0,&nbsp;,,0,0,22 млн,74 тыс,1930,"9,4 млн",34 тыс,41 млн,149 тыс,1930,"комедия, семейный",",4,11,",RUONLY,",6,",48811,&nbsp;,56.81,11 тыс,21 тыс
29198325,ЛЕГЕНДА О САМБО,,"<a href=""/distributor/show/id/RWV"" target=""_blank"">RWV</a>",",291,",2023-11-16,2023-11-16,ПН - СР,СР,740,298 тыс,,0,0,14 млн,46 тыс,1274,"4,4 млн",15 тыс,23 млн,82 тыс,1280,"драма, спорт",",10,24,",RUONLY,",6,",48901,&nbsp;,67.81,11 тыс,18 тыс
29198351,ГАРДЕМАРИНЫ 1787. ВОЙНА,,"<a href=""/distributor/show/id/NMG"" target=""_blank"">NMG</a>",",598,",2023-11-16,2023-11-16,&nbsp;,946684800,0,&nbsp;,,0,0,"3,4 млн",12 тыс,1101,"1,1 млн","4,1 тыс","6,3 млн",24 тыс,1101,"приключения, исторический",",6,12,",RUONLY,",6,",48981,&nbsp;,69.4,"3,1 тыс","5,7 тыс"
29198362,ПАПАША В БЕГАХ,,"<a href=""/distributor/show/id/AK"" target=""_blank"">AK</a>",",587,",2023-11-16,2023-11-16,&nbsp;,946684800,0,&nbsp;,,0,0,16 млн,49 тыс,1350,"5,2 млн",18 тыс,27 млн,90 тыс,1350,"комедия, приключения",",4,6,",RUONLY,",6,",49019,&nbsp;,66.68,12 тыс,20 тыс
29198478,МИНИ-МИШКИ: НОВЫЕ ПРИКЛЮЧЕНИЯ,,"<a href=""/distributor/show/id/MVK"" target=""_blank"">MVK</a>",",214,",2023-11-16,2023-11-16,&nbsp;,946684800,0,&nbsp;,,0,0,"2,8 млн",16 тыс,475,"1,6 млн","9,4 тыс","6,0 млн",36 тыс,475,анимация,",7,",RUONLY,",6,",49369,&nbsp;,44.9,"6,0 тыс",13 тыс
29198496,НИША,,RFLF,",182,",2023-11-16,2023-11-16,&nbsp;,946684800,0,&nbsp;,,0,0,157 тыс,446 ,25,&nbsp;,&nbsp;,411 тыс,"1,2 тыс",25,"комедия, драма",",4,10,",RUONLY,",6,",49441,&nbsp;,&nbsp;,"6,3 тыс",16 тыс
